v_call_light,IGHV1,IGHV2,IGHV3,IGHV4,IGHV5,IGHV6,IGHV7
IGKV1,14392,3445,38879,23005,2967,373,1209
IGKV1D,474,204,1594,867,121,13,49
IGKV2,3443,604,8974,2730,848,111,207
IGKV2D,404,56,768,239,59,9,8
IGKV3,13927,2260,30128,19529,3365,301,952
IGKV3D,165,24,415,257,48,6,11
IGKV4,4855,675,8514,5737,816,190,472
IGKV5,13,5,34,27,1,0,0
IGKV6,130,44,439,285,46,8,17
IGKV6D,37,9,99,67,19,1,5
IGLV1,6310,2046,13025,11869,1625,188,1247
IGLV10,56,5,297,53,5,1,5
IGLV2,7420,1615,16800,10987,2116,269,992
IGLV3,7197,2498,17200,12608,1813,143,1209
IGLV4,401,69,1834,393,68,2,65
IGLV5,139,26,541,154,25,7,40
IGLV6,417,105,1442,538,152,7,66
IGLV7,665,127,1398,572,190,11,84
IGLV8,208,35,894,308,51,1,24
IGLV9,95,54,164,164,16,1,4
