v_call_light,IGHJ1,IGHJ2,IGHJ3,IGHJ4,IGHJ5,IGHJ6
IGKV1,1585,1976,16997,46371,10167,12399
IGKV1D,61,119,566,1833,397,550
IGKV2,262,242,2653,10504,1474,2621
IGKV2D,21,31,199,999,95,283
IGKV3,1430,2369,11479,38074,8534,12690
IGKV3D,25,36,168,464,114,168
IGKV4,594,864,3987,11873,2753,2181
IGKV5,0,5,7,52,3,16
IGKV6,17,18,214,553,84,128
IGKV6D,4,3,51,138,22,30
IGLV1,470,1023,6326,17761,6168,6655
IGLV10,3,3,166,235,15,11
IGLV2,509,1247,7647,22729,4411,5594
IGLV3,785,1409,8755,22324,5362,6960
IGLV4,67,65,387,2067,166,236
IGLV5,14,11,210,583,78,68
IGLV6,45,73,181,1810,409,386
IGLV7,34,21,359,2161,252,345
IGLV8,25,78,96,980,89,262
IGLV9,10,9,50,276,124,61
